precision, min_term, max_term, errors, samples, error_rate
3, 0.0, 9999.0, 1685, 124251, 1.356%
3, 0.0, 21.0, 931, 7065, 13.178%
3, 21.0, 63.0, 686, 13514, 5.076%
3, 63.0, 126.0, 68, 18729, 0.363%
3, 126.0, 9999.0, 0, 84943, 0.000%
3, 21.0, 21.0, 43, 464, 9.267%
3, 63.0, 63.0, 4, 437, 0.915%
3, 126.0, 126.0, 0, 397, 0.000%
4, 0.0, 9999.0, 173, 124251, 0.139%
4, 0.0, 21.0, 115, 7065, 1.628%
4, 21.0, 63.0, 45, 13514, 0.333%
4, 63.0, 126.0, 10, 18729, 0.053%
4, 126.0, 9999.0, 3, 84943, 0.004%
4, 21.0, 21.0, 0, 464, 0.000%
4, 63.0, 63.0, 0, 437, 0.000%
4, 126.0, 126.0, 0, 397, 0.000%
5, 0.0, 9999.0, 272, 124251, 0.219%
5, 0.0, 21.0, 164, 7065, 2.321%
5, 21.0, 63.0, 46, 13514, 0.340%
5, 63.0, 126.0, 29, 18729, 0.155%
5, 126.0, 9999.0, 33, 84943, 0.039%
5, 21.0, 21.0, 0, 464, 0.000%
5, 63.0, 63.0, 1, 437, 0.229%
5, 126.0, 126.0, 1, 397, 0.252%
6, 0.0, 9999.0, 1830, 124251, 1.473%
6, 0.0, 21.0, 955, 7065, 13.517%
6, 21.0, 63.0, 273, 13514, 2.020%
6, 63.0, 126.0, 223, 18729, 1.191%
6, 126.0, 9999.0, 379, 84943, 0.446%
6, 21.0, 21.0, 18, 464, 3.879%
6, 63.0, 63.0, 13, 437, 2.975%
6, 126.0, 126.0, 9, 397, 2.267%
